         3068216 function calls (3061514 primitive calls) in 39.941 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2760    0.002    0.000    0.002    0.000 {built-in method faiss._swigfaiss_avx2.cast_integer_to_cudastream_t}
      101    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(any)
     1489    0.002    0.000    0.002    0.000 module.py:1256(__getattr__)
     5001    0.002    0.000    0.002    0.000 glob.py:154(_ishidden)
      100    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(ones_like)
        3    0.002    0.001    0.002    0.001 {method 'decode' of 'ImagingDecoder' objects}
      200    0.001    0.000    0.002    0.000 _methods.py:92(_clip_dep_is_scalar_nan)
     2342    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
       60    0.002    0.000    0.002    0.000 {built-in method torch.max_pool2d}
      200    0.000    0.000    0.002    0.000 {method 'sum' of 'numpy.ndarray' objects}
      100    0.000    0.000    0.002    0.000 _interpolation.py:772(<listcomp>)
       52    0.000    0.000    0.002    0.000 layers.py:31(__init__)
      500    0.001    0.000    0.002    0.000 _ni_support.py:57(_normalize_sequence)
     1347    0.002    0.000    0.002    0.000 {method 'sub' of 're.Pattern' objects}
      440    0.001    0.000    0.002    0.000 std.py:112(__enter__)
      407    0.001    0.000    0.002    0.000 re.py:186(match)
      100    0.000    0.000    0.002    0.000 fromnumeric.py:2802(amin)
       11    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(mean)
      102    0.001    0.000    0.002    0.000 _dtype.py:344(_name_get)
      100    0.000    0.000    0.002    0.000 numeric.py:218(ones_like)
     2772    0.002    0.000    0.002    0.000 {built-in method torch._C._cuda_getDeviceCount}
       84    0.000    0.000    0.002    0.000 _utils.py:144(_rebuild_tensor)
      100    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(amax)
       11    0.000    0.000    0.002    0.000 fromnumeric.py:3313(mean)
      440    0.000    0.000    0.002    0.000 std.py:115(__exit__)
      110    0.001    0.000    0.002    0.000 utils.py:162(__init__)
      200    0.000    0.000    0.002    0.000 _methods.py:46(_sum)
      220    0.001    0.000    0.002    0.000 std.py:1300(fp_write)
        1    0.000    0.000    0.002    0.002 transforms.py:93(__call__)
      110    0.000    0.000    0.002    0.000 std.py:579(<setcomp>)
       11    0.000    0.000    0.002    0.000 _methods.py:163(_mean)
      101    0.000    0.000    0.002    0.000 fromnumeric.py:2307(any)
      102    0.000    0.000    0.002    0.000 {method 'max' of 'numpy.ndarray' objects}
     6111    0.002    0.000    0.002    0.000 _jit_internal.py:1082(is_scripting)
      300    0.002    0.000    0.002    0.000 {built-in method builtins.round}
      300    0.002    0.000    0.002    0.000 {built-in method faiss._swigfaiss_avx2.IndexFlatL2_swiginit}
       57    0.001    0.000    0.002    0.000 module.py:309(__init__)
      110    0.001    0.000    0.002    0.000 {built-in method fcntl.ioctl}
      830    0.001    0.000    0.002    0.000 re.py:287(_compile)
       41    0.000    0.000    0.002    0.000 __init__.py:47(_make_grads)
      400    0.000    0.000    0.002    0.000 re.py:196(search)
     8589    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      562    0.001    0.000    0.001    0.000 grad_mode.py:227(__init__)
      125    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
      281    0.001    0.000    0.001    0.000 grad_mode.py:131(__enter__)
      102    0.000    0.000    0.001    0.000 _methods.py:38(_amax)
       54    0.000    0.000    0.001    0.000 {method 'any' of 'numpy.ndarray' objects}
      302    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      281    0.001    0.000    0.001    0.000 grad_mode.py:135(__exit__)
      100    0.000    0.000    0.001    0.000 fromnumeric.py:2677(amax)
      200    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(empty_like)
     1034    0.001    0.000    0.001    0.000 numerictypes.py:282(issubclass_)
       59    0.000    0.000    0.001    0.000 _methods.py:54(_any)
     2800    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     5062    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      600    0.001    0.000    0.001    0.000 _linalg_utils.py:46(conjugate)
      110    0.000    0.000    0.001    0.000 _weakrefset.py:106(remove)
       13    0.000    0.000    0.001    0.000 batchnorm.py:76(reset_parameters)
     3116    0.001    0.000    0.001    0.000 {built-in method builtins.iter}
      100    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
       30    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(prod)
      409    0.001    0.000    0.001    0.000 std.py:155(__init__)
      400    0.001    0.000    0.001    0.000 {built-in method numpy.arange}
        2    0.000    0.000    0.001    0.001 imopen.py:15(imopen)
        1    0.000    0.000    0.001    0.001 util.py:45(image_as_uint)
     1150    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
       60    0.000    0.000    0.001    0.000 __init__.py:88(replacement_init)
        1    0.000    0.000    0.001    0.001 argparse.py:1638(__init__)
     2460    0.001    0.000    0.001    0.000 {built-in method faiss._swigfaiss_avx2.cast_integer_to_idx_t_ptr}
       10    0.000    0.000    0.001    0.000 storage.py:596(__deepcopy__)
       90    0.001    0.000    0.001    0.000 {method 'expand' of 'torch._C._TensorBase' objects}
       10    0.000    0.000    0.001    0.000 argparse.py:1337(add_argument)
       30    0.000    0.000    0.001    0.000 fromnumeric.py:2927(prod)
      964    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.001    0.001 exposure.py:777(is_low_contrast)
      330    0.000    0.000    0.001    0.000 {method 'remove' of 'set' objects}
       12    0.000    0.000    0.001    0.000 pooling.py:1183(forward)
      110    0.001    0.000    0.001    0.000 std.py:329(status_printer)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(percentile)
      281    0.001    0.000    0.001    0.000 grad_mode.py:126(__init__)
        1    0.000    0.000    0.001    0.001 function_base.py:3884(percentile)
        1    0.000    0.000    0.001    0.001 transforms.py:127(__call__)
      102    0.000    0.000    0.001    0.000 _dtype.py:330(_name_includes_bit_suffix)
       12    0.000    0.000    0.001    0.000 functional.py:1200(adaptive_avg_pool2d)
       10    0.001    0.000    0.001    0.000 {method 'sort' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 functional.py:122(to_tensor)
     1877    0.001    0.000    0.001    0.000 {built-in method time.time}
        1    0.000    0.000    0.001    0.001 function_base.py:4416(_quantile_unchecked)
       58    0.000    0.000    0.001    0.000 module.py:391(register_parameter)
        1    0.000    0.000    0.001    0.001 function_base.py:3674(_ureduce)
        1    0.000    0.000    0.001    0.001 function_base.py:4568(_quantile_ureduce_func)
     1000    0.001    0.000    0.001    0.000 my_gpnn.py:837(<dictcomp>)
       60    0.000    0.000    0.001    0.000 swigfaiss_avx2.py:6937(__init__)
     1276    0.001    0.000    0.001    0.000 _tensor.py:928(__hash__)
      600    0.001    0.000    0.001    0.000 _linalg_utils.py:22(get_floating_dtype)
       94    0.001    0.000    0.001    0.000 {method 'numpy' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 function_base.py:4636(_quantile)
      400    0.001    0.000    0.001    0.000 _version.py:62(<listcomp>)
       90    0.001    0.000    0.001    0.000 filter.py:9(_compute_padding)
       90    0.001    0.000    0.001    0.000 __init__.py:290(KORNIA_CHECK_SHAPE)
      618    0.001    0.000    0.001    0.000 utils.py:319(_term_move_up)
      200    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(ndim)
     1213    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
       15    0.000    0.000    0.001    0.000 activation.py:97(__init__)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
       16    0.000    0.000    0.001    0.000 init.py:122(uniform_)
       20    0.000    0.000    0.001    0.000 _tensor.py:33(wrapped)
       58    0.000    0.000    0.001    0.000 parameter.py:30(__new__)
       10    0.000    0.000    0.001    0.000 storage.py:93(__deepcopy__)
     2185    0.001    0.000    0.001    0.000 {function _ParameterMeta.__instancecheck__ at 0x7ffaedb04a60}
      110    0.000    0.000    0.001    0.000 utils.py:215(_supports_unicode)
      100    0.001    0.000    0.001    0.000 _warps.py:186(<listcomp>)
       94    0.001    0.000    0.001    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
       12    0.001    0.000    0.001    0.000 {built-in method torch._C._nn.adaptive_avg_pool2d}
       16    0.000    0.000    0.001    0.000 init.py:12(_no_grad_uniform_)
     5061    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
      100    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(copyto)
      220    0.000    0.000    0.001    0.000 _weakrefset.py:26(__exit__)
       10    0.000    0.000    0.001    0.000 storage.py:109(clone)
     2306    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
      309    0.001    0.000    0.001    0.000 {built-in method now}
       20    0.001    0.000    0.001    0.000 {method 'pow' of 'torch._C._TensorBase' objects}
     2108    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        3    0.000    0.000    0.001    0.000 gettext.py:735(gettext)
      859    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
      310    0.000    0.000    0.001    0.000 numerictypes.py:228(obj2sctype)
        3    0.000    0.000    0.001    0.000 gettext.py:660(dgettext)
      400    0.000    0.000    0.001    0.000 pyramids.py:87(<genexpr>)
        3    0.000    0.000    0.001    0.000 gettext.py:579(translation)
        2    0.000    0.000    0.001    0.000 container.py:84(__init__)
      100    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(iscomplexobj)
       58    0.001    0.000    0.001    0.000 {built-in method _make_subclass}
        3    0.000    0.000    0.001    0.000 gettext.py:538(find)
        1    0.000    0.000    0.001    0.001 runpy.py:102(_get_module_details)
      300    0.001    0.000    0.001    0.000 pca.py:10(__init__)
       39    0.000    0.000    0.001    0.000 module.py:336(register_buffer)
      567    0.001    0.000    0.001    0.000 {built-in method builtins.min}
      100    0.000    0.000    0.001    0.000 utils.py:777(_supported_float_type)
       60    0.001    0.000    0.001    0.000 {built-in method faiss._swigfaiss_avx2.new_IndexIVFFlat}
      626    0.001    0.000    0.001    0.000 {method 'is_complex' of 'torch._C._TensorBase' objects}
     2136    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      110    0.000    0.000    0.001    0.000 _weakrefset.py:81(add)
      605    0.000    0.000    0.001    0.000 module.py:1735(<lambda>)
     1606    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.001    0.000 request.py:216(__init__)
      375    0.001    0.000    0.001    0.000 fromnumeric.py:70(<dictcomp>)
      621    0.001    0.000    0.001    0.000 {method 'requires_grad_' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.001    0.001 imagenet_localization_parser.py:31(get_voc_label)
        1    0.000    0.000    0.001    0.001 argparse.py:1767(parse_args)
        1    0.000    0.000    0.001    0.001 argparse.py:1774(parse_known_args)
     2368    0.001    0.000    0.001    0.000 {method 'items' of 'collections.OrderedDict' objects}
        2    0.000    0.000    0.001    0.000 Image.py:687(__array_interface__)
        1    0.000    0.000    0.001    0.001 synset_utils.py:15(synset_id_to_imagenet_class_ix)
      116    0.000    0.000    0.001    0.000 module.py:643(compute_should_use_set_data)
        5    0.000    0.000    0.001    0.000 pooling.py:22(__init__)
       10    0.000    0.000    0.000    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
        1    0.000    0.000    0.000    0.000 synset_utils.py:17(<dictcomp>)
       51    0.000    0.000    0.000    0.000 module.py:433(add_module)
        1    0.000    0.000    0.000    0.000 format.py:422(get_data)
        2    0.000    0.000    0.000    0.000 Image.py:729(tobytes)
      220    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
      110    0.000    0.000    0.000    0.000 utils.py:74(__eq__)
        1    0.000    0.000    0.000    0.000 argparse.py:1809(_parse_known_args)
       10    0.000    0.000    0.000    0.000 argparse.py:2479(_get_formatter)
        1    0.000    0.000    0.000    0.000 pillow_legacy.py:479(_get_data)
      300    0.000    0.000    0.000    0.000 {built-in method faiss._swigfaiss_avx2.new_IndexFlatL2}
      168    0.000    0.000    0.000    0.000 _utils.py:650(_element_size)
      458    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C._TensorBase' objects}
       10    0.000    0.000    0.000    0.000 argparse.py:161(__init__)
        1    0.000    0.000    0.000    0.000 pillow_legacy.py:330(_get_data)
      203    0.000    0.000    0.000    0.000 abc.py:100(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:849(get_code)
       24    0.000    0.000    0.000    0.000 dropout.py:58(forward)
     1394    0.000    0.000    0.000    0.000 {method 'values' of 'collections.OrderedDict' objects}
        1    0.000    0.000    0.000    0.000 pillow_legacy.py:682(pil_get_frame)
      409    0.000    0.000    0.000    0.000 utils.py:57(__init__)
       13    0.000    0.000    0.000    0.000 init.py:195(ones_)
       10    0.000    0.000    0.000    0.000 _tensor.py:854(__format__)
      423    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       53    0.000    0.000    0.000    0.000 module.py:1145(register_forward_hook)
      403    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
      861    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
      220    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
        1    0.000    0.000    0.000    0.000 transforms.py:338(forward)
       13    0.000    0.000    0.000    0.000 batchnorm.py:68(reset_running_stats)
       13    0.000    0.000    0.000    0.000 init.py:57(_no_grad_fill_)
        1    0.000    0.000    0.000    0.000 util.py:37(_precision_warn)
        1    0.000    0.000    0.000    0.000 functional.py:388(resize)
       10    0.000    0.000    0.000    0.000 {method 'clamp' of 'torch._C._TensorBase' objects}
       11    0.000    0.000    0.000    0.000 {built-in method torch.softmax}
        1    0.000    0.000    0.000    0.000 __init__.py:1436(warning)
      330    0.000    0.000    0.000    0.000 utils.py:101(wrapper_setattr)
      843    0.000    0.000    0.000    0.000 {built-in method torch.is_grad_enabled}
       24    0.000    0.000    0.000    0.000 functional.py:1235(dropout)
        2    0.000    0.000    0.000    0.000 Image.py:3030(fromarray)
      220    0.000    0.000    0.000    0.000 utils.py:136(disable_on_exception)
        1    0.000    0.000    0.000    0.000 {method 'partition' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1553(_log)
       32    0.000    0.000    0.000    0.000 init.py:284(_calculate_fan_in_and_fan_out)
        1    0.000    0.000    0.000    0.000 common.py:92(parse)
      110    0.000    0.000    0.000    0.000 utils.py:105(__init__)
        2    0.000    0.000    0.000    0.000 plugins.py:89(plugin_class)
      409    0.000    0.000    0.000    0.000 utils.py:61(__format__)
      683    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      220    0.000    0.000    0.000    0.000 utils.py:88(__getattr__)
       10    0.000    0.000    0.000    0.000 {built-in method torch.zeros_like}
      861    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 functional_tensor.py:447(resize)
        2    0.000    0.000    0.000    0.000 Image.py:2973(frombuffer)
        7    0.000    0.000    0.000    0.000 argparse.py:1877(consume_optional)
        1    0.000    0.000    0.000    0.000 transforms.py:262(forward)
      200    0.000    0.000    0.000    0.000 _methods.py:102(_clip_dep_is_byte_swapped)
        1    0.000    0.000    0.000    0.000 functional.py:337(normalize)
      220    0.000    0.000    0.000    0.000 std.py:1167(_comparable)
      220    0.000    0.000    0.000    0.000 utils.py:171(__eq__)
      100    0.000    0.000    0.000    0.000 _warps.py:24(_preprocess_resize_output_shape)
       22    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(transpose)
      859    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        1    0.000    0.000    0.000    0.000 ElementTree.py:1192(parse)
      220    0.000    0.000    0.000    0.000 std.py:1171(__hash__)
      203    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 pascal_run_competing_saliency_librecam.py:54(denormalize_tensor)
        1    0.000    0.000    0.000    0.000 ElementTree.py:571(parse)
       23    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       11    0.000    0.000    0.000    0.000 module.py:47(__init__)
        1    0.000    0.000    0.000    0.000 pillow_legacy.py:786(ndarray_to_pil)
      300    0.000    0.000    0.000    0.000 nearest_neighbors.py:9(initialize_faiss)
        5    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 legacy_plugin_wrapper.py:150(legacy_get_writer)
        1    0.000    0.000    0.000    0.000 functional_tensor.py:917(normalize)
        1    0.000    0.000    0.000    0.000 format.py:223(get_writer)
       13    0.000    0.000    0.000    0.000 init.py:208(zeros_)
      110    0.000    0.000    0.000    0.000 utils.py:201(_is_utf)
       11    0.000    0.000    0.000    0.000 module.py:1079(_maybe_warn_non_full_backward_hook)
      110    0.000    0.000    0.000    0.000 _monitor.py:94(report)
      156    0.000    0.000    0.000    0.000 batchnorm.py:408(_check_input_dim)
       11    0.000    0.000    0.000    0.000 {method 'item' of 'torch._C._TensorBase' objects}
        2    0.000    0.000    0.000    0.000 request.py:281(_parse_uri)
       13    0.000    0.000    0.000    0.000 init.py:62(_no_grad_zero_)
       18    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
        1    0.000    0.000    0.000    0.000 hub.py:643(_is_legacy_zip_format)
      318    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      849    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       10    0.000    0.000    0.000    0.000 utils.py:33(__exit__)
        1    0.000    0.000    0.000    0.000 ImageFile.py:292(load_prepare)
        1    0.000    0.000    0.000    0.000 zipfile.py:196(is_zipfile)
       65    0.000    0.000    0.000    0.000 {built-in method torch._C._log_api_usage_once}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
      156    0.000    0.000    0.000    0.000 __init__.py:31(__get__)
       65    0.000    0.000    0.000    0.000 hooks.py:15(__init__)
      100    0.000    0.000    0.000    0.000 type_check.py:303(iscomplexobj)
      100    0.000    0.000    0.000    0.000 _filters.py:364(<listcomp>)
       26    0.000    0.000    0.000    0.000 {method 'fill_' of 'torch._C._TensorBase' objects}
      116    0.000    0.000    0.000    0.000 {built-in method torch._has_compatible_shallow_copy_type}
      300    0.000    0.000    0.000    0.000 _ni_support.py:36(_extend_mode_to_code)
       10    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       10    0.000    0.000    0.000    0.000 {method 'all' of 'torch._C._TensorBase' objects}
       16    0.000    0.000    0.000    0.000 init.py:356(_calculate_correct_fan)
        2    0.000    0.000    0.000    0.000 utils.py:9(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
      330    0.000    0.000    0.000    0.000 std.py:228(__init__)
      409    0.000    0.000    0.000    0.000 std.py:169(colour)
      407    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       10    0.000    0.000    0.000    0.000 shutil.py:1287(get_terminal_size)
        1    0.000    0.000    0.000    0.000 pillow_legacy.py:414(_open)
        4    0.000    0.000    0.000    0.000 request.py:462(get_file)
        2    0.000    0.000    0.000    0.000 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 {method 'div' of 'torch._C._TensorBase' objects}
      220    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
      562    0.000    0.000    0.000    0.000 {built-in method torch._C._set_grad_enabled}
      200    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
        1    0.000    0.000    0.000    0.000 pillow_legacy.py:352(_open)
        2    0.000    0.000    0.000    0.000 plugins.py:106(partial_legacy_plugin)
        3    0.000    0.000    0.000    0.000 pathlib.py:1015(__new__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1002(_gcd_import)
       60    0.000    0.000    0.000    0.000 {built-in method faiss._swigfaiss_avx2.IndexIVFFlat_swiginit}
       11    0.000    0.000    0.000    0.000 {method 'register_hook' of 'MaxPool2DWithIndicesBackward0' objects}
        1    0.000    0.000    0.000    0.000 Image.py:2935(frombytes)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1690(feed)
       11    0.000    0.000    0.000    0.000 _methods.py:66(_count_reduce_items)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nanmin)
        2    0.000    0.000    0.000    0.000 {method 'Parse' of 'pyexpat.xmlparser' objects}
      200    0.000    0.000    0.000    0.000 _filters.py:51(_invalid_origin)
        2    0.000    0.000    0.000    0.000 legacy_plugin_wrapper.py:59(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
        1    0.000    0.000    0.000    0.000 cnn.py:122(get_vgg_transform)
      201    0.000    0.000    0.000    0.000 {built-in method math.ceil}
      195    0.000    0.000    0.000    0.000 {method 'is_floating_point' of 'torch._C._TensorBase' objects}
       11    0.000    0.000    0.000    0.000 functools.py:33(update_wrapper)
       60    0.000    0.000    0.000    0.000 {method 'long' of 'torch._C._TensorBase' objects}
       53    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 nanfunctions.py:236(nanmin)
        1    0.000    0.000    0.000    0.000 zipfile.py:188(_check_zipfile)
       20    0.000    0.000    0.000    0.000 {method 'unfold' of 'torch._C._TensorBase' objects}
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:821(jpeg_factory)
        1    0.000    0.000    0.000    0.000 zipfile.py:255(_EndRecData)
      168    0.000    0.000    0.000    0.000 serialization.py:1031(_maybe_decode_ascii)
        7    0.000    0.000    0.000    0.000 argparse.py:1856(take_action)
        2    0.000    0.000    0.000    0.000 os.py:196(makedirs)
        1    0.000    0.000    0.000    0.000 __init__.py:1579(handle)
        1    0.000    0.000    0.000    0.000 util.py:73(find_spec)
      110    0.000    0.000    0.000    0.000 std.py:657(get_lock)
        3    0.000    0.000    0.000    0.000 pathlib.py:662(_from_parts)
      220    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
     20/1    0.000    0.000    0.000    0.000 imagenet_localization_parser.py:15(parse_voc_xml)
        1    0.000    0.000    0.000    0.000 ImageFile.py:88(__init__)
       22    0.000    0.000    0.000    0.000 fromnumeric.py:601(transpose)
        1    0.000    0.000    0.000    0.000 __init__.py:1538(makeRecord)
        3    0.000    0.000    0.000    0.000 format.py:343(close)
        4    0.000    0.000    0.000    0.000 request.py:540(finish)
        1    0.000    0.000    0.000    0.000 serialization.py:870(legacy_load)
        3    0.000    0.000    0.000    0.000 argparse.py:1255(__init__)
       13    0.000    0.000    0.000    0.000 utils.py:23(_reverse_repeat_tuple)
        1    0.000    0.000    0.000    0.000 __init__.py:1633(callHandlers)
       84    0.000    0.000    0.000    0.000 serialization.py:213(default_restore_location)
      409    0.000    0.000    0.000    0.000 std.py:165(colour)
       93    0.000    0.000    0.000    0.000 {method 'tell' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 warnings.py:96(_showwarnmsg)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      244    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
        2    0.000    0.000    0.000    0.000 Image.py:2896(new)
        1    0.000    0.000    0.000    0.000 tarfile.py:1550(open)
      110    0.000    0.000    0.000    0.000 std.py:1161(__del__)
        6    0.000    0.000    0.000    0.000 gettext.py:212(_expand_lang)
        1    0.000    0.000    0.000    0.000 __init__.py:284(__init__)
        3    0.000    0.000    0.000    0.000 pathlib.py:642(_parse_args)
        2    0.000    0.000    0.000    0.000 warnings.py:20(_showwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:351(_open)
       10    0.000    0.000    0.000    0.000 storage.py:459(_new_wrapped_storage)
      100    0.000    0.000    0.000    0.000 std.py:605(<lambda>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       10    0.000    0.000    0.000    0.000 swigfaiss_avx2.py:1322(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1388(add_argument_group)
        1    0.000    0.000    0.000    0.000 __init__.py:937(handle)
       10    0.000    0.000    0.000    0.000 {method 'new_empty' of 'torch._C._TensorBase' objects}
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:1078(putchunk)
       10    0.000    0.000    0.000    0.000 argparse.py:1747(_add_action)
        1    0.000    0.000    0.000    0.000 tarfile.py:1641(taropen)
       40    0.000    0.000    0.000    0.000 copy.py:241(_keep_alive)
      220    0.000    0.000    0.000    0.000 {built-in method _weakref.proxy}
        1    0.000    0.000    0.000    0.000 format.py:332(__exit__)
       97    0.000    0.000    0.000    0.000 parameter.py:152(is_lazy)
        1    0.000    0.000    0.000    0.000 tarfile.py:1439(__init__)
      100    0.000    0.000    0.000    0.000 utils.py:695(_validate_interpolation_order)
       22    0.000    0.000    0.000    0.000 shape_base.py:432(<listcomp>)
        5    0.000    0.000    0.000    0.000 {method 'join' of 'bytes' objects}
       12    0.000    0.000    0.000    0.000 utils.py:32(_list_with_default)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nanmax)
       16    0.000    0.000    0.000    0.000 init.py:67(calculate_gain)
       14    0.000    0.000    0.000    0.000 request.py:138(io_mode)
      200    0.000    0.000    0.000    0.000 fromnumeric.py:3121(ndim)
        1    0.000    0.000    0.000    0.000 __init__.py:108(__getattr__)
        2    0.000    0.000    0.000    0.000 argparse.py:1567(__init__)
       11    0.000    0.000    0.000    0.000 function.py:247(_register_hook)
       10    0.000    0.000    0.000    0.000 argparse.py:1589(_add_action)
        3    0.000    0.000    0.000    0.000 posixpath.py:372(abspath)
       22    0.000    0.000    0.000    0.000 shape_base.py:420(<listcomp>)
        1    0.000    0.000    0.000    0.000 Image.py:807(frombytes)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      510    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
       23    0.000    0.000    0.000    0.000 re.py:248(compile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
       24    0.000    0.000    0.000    0.000 {built-in method torch.dropout}
        2    0.000    0.000    0.000    0.000 nanfunctions.py:369(nanmax)
        3    0.000    0.000    0.000    0.000 pathlib.py:63(parse_parts)
        7    0.000    0.000    0.000    0.000 argparse.py:2357(_get_values)
        7    0.000    0.000    0.000    0.000 argparse.py:2084(_match_argument)
      188    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function_variadic}
       10    0.000    0.000    0.000    0.000 argparse.py:1478(_get_optional_kwargs)
       90    0.000    0.000    0.000    0.000 filter.py:15(<listcomp>)
       55    0.000    0.000    0.000    0.000 module.py:1543(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1069(emit)
       61    0.000    0.000    0.000    0.000 module.py:1273(remove_from)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      400    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      110    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
      110    0.000    0.000    0.000    0.000 pyramids.py:27(_check_factor)
      156    0.000    0.000    0.000    0.000 {built-in method torch._C._get_cudnn_enabled}
        1    0.000    0.000    0.000    0.000 function_base.py:4601(_get_indexes)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:969(get_data)
       22    0.000    0.000    0.000    0.000 shape_base.py:348(_stack_dispatcher)
       10    0.000    0.000    0.000    0.000 {method '__format__' of 'float' objects}
       97    0.000    0.000    0.000    0.000 overrides.py:1733(is_tensor_like)
